id;nombre;referencia;descripcion;codigo;proveedor
1;budgetary management;cyan ivory;concept Motorway circuit;bypassing;24552
2;Borders Facilitator Rubber;Fresh;systemic Practical orchid;frictionless;71714
3;reboot Programmable;Hat Awesome;Tunnel;neural archive Tools;70235
4;Gibraltar Hat;Cape Verde Berkshire;synthesize calculating;Soft;22732
5;ROI multi-tasking Croatia;SSL incubate;application;synthesizing Sleek Plastic Computer;49294
6;Soft Assurance;Via;B2B Utah;Ukraine orange;77198
7;dynamic Cheese;Licensed;Tunisian Dinar solid state Benin;Analyst circuit synergies;79849
8;Refined Cotton Tuna microchip;Berkshire Handcrafted Metal Chicken;Utah Response Legacy;Michigan Savings Account deposit;33370
9;leverage Ergonomic Wooden Shirt disintermediate;utilize;CSS Kentucky;Tuna framework;32958
10;Communications Grocery;Michigan Georgia generating;Senior Manager Refined Cotton Shoes;encoding French Southern Territories lavender;41677
