id;usuario;fecha;codigo;cantidad_valor
1;69713;2020-05-14T18:09:58;open-source;8502
2;42483;2020-05-13T22:51:35;Internal Bedfordshire;27424
3;80208;2020-05-14T14:00:35;Practical Plastic Shirt bandwidth;38651
4;42186;2020-05-14T01:16:05;Mountain program;94452
5;72303;2020-05-14T02:51:29;instruction set;74115
6;36735;2020-05-14T19:30:21;payment partnerships Proactive;2284
7;72561;2020-05-14T15:41:48;Mission strategy hack;38433
8;91132;2020-05-14T11:27:34;Borders Computers installation;32663
9;86885;2020-05-14T06:43:06;PCI;85954
10;38583;2020-05-14T13:58:05;Streamlined;89984
