id;codigo;nombre;producto;cantidad;fecha
1;schemas;Handmade Cotton Mouse;93881;88446;2020-05-14T16:40:47
2;solid state solid state;Senior Web invoice;36380;61371;2020-05-14T04:12:08
3;Auto Loan Account Incredible Throughway;Multi-channelled Bulgarian Lev Credit Card Account;12559;83025;2020-05-14T08:19:16
4;Toys;Dynamic e-business;2305;53790;2020-05-14T17:12:50
5;invoice Licensed Wooden Tuna Investment Account;parsing Bedfordshire Plaza;797;1272;2020-05-14T07:12:13
6;yellow;Park Motorway system;56168;17547;2020-05-14T11:34:50
7;Accounts Bolivia;platforms Steel;348;64495;2020-05-13T21:13:19
8;Awesome Soft Pizza invoice;Place gold;68120;38690;2020-05-14T15:00:49
9;hack Bacon;Executive;85425;407;2020-05-14T20:14:18
10;strategy port customized;SQL;77218;50979;2020-05-14T07:24:07
