id;nombre;codigo;descripcion;descripcion_content_type
1;web services Checking Account;Personal Loan Account;../fake-data/blob/hipster.png;image/png
2;Personal Loan Account;virtual Internal;../fake-data/blob/hipster.png;image/png
3;vertical Incredible Frozen Table Electronics;integrated e-business;../fake-data/blob/hipster.png;image/png
4;bus eyeballs;Metal Savings Account;../fake-data/blob/hipster.png;image/png
5;Bedfordshire Licensed;synthesize Bedfordshire;../fake-data/blob/hipster.png;image/png
6;Refined Concrete Car bypass metrics;parse;../fake-data/blob/hipster.png;image/png
7;Micronesia;feed;../fake-data/blob/hipster.png;image/png
8;matrix Incredible;networks Supervisor;../fake-data/blob/hipster.png;image/png
9;orchid reintermediate;Customizable Tools;../fake-data/blob/hipster.png;image/png
10;purple Manager grid-enabled;world-class;../fake-data/blob/hipster.png;image/png
