id;tipo;fecha;sucursal;motivo;observacion
1;SALIDA;2020-05-13T20:53:26;46875;Refined Synchronised;Zambian Kwacha Identity Virtual
2;MODIFICACION;2020-05-14T09:15:42;42079;Technician navigating;Hat sexy AI
3;ENTRADA;2020-05-14T02:34:12;80729;International withdrawal Alley;Licensed Granite Ball
4;MODIFICACION;2020-05-14T12:42:39;6519;transmit;Progressive
5;ENTRADA;2020-05-14T07:38:49;18399;green;Money Market Account synthesizing repurpose
6;MODIFICACION;2020-05-13T22:34:41;73277;Investor;Computer Borders
7;MODIFICACION;2020-05-14T09:01:59;99202;Administrator Toys;payment
8;ENTRADA;2020-05-14T13:25:16;68895;Borders;Personal Loan Account Ergonomic transmitting
9;MODIFICACION;2020-05-14T07:55:39;77398;Freeway Argentina Causeway;Incredible Wooden Sausages Chicken lime
10;MODIFICACION;2020-05-14T18:51:17;84343;engage;compressing
